rn,total_checkins
bo3z3-WUNblcRKRrWqeTAg,899.0
I5YF1kl3LCVM6nDeP8rUzQ,17.0
GYMP2opfj0-dAf_3rWZEjA,2.0
WEs9MN1M6tixwEz844jCUw,0.0
YFO5rDWDZ7Ngk_DEobjpLw,0.0
dQwjYLmQXb06CpMPIpm5-g,163.0
cIoB6iinl48KDGCVwtCHoA,0.0
fihcqcjpMWTSGiR_dWLOcw,382.0
4IdcT63iE5fNrVzayZtKEw,58.0
CxV9DJCxc04_xkDRSrfgFA,2.0
jXo3-D3fCzaQzLE0NRZlZw,3.0
USRXU4ASBAFSKhlk-KVrCw,60.0
CZ1NjI_Kyg_V3ol3se2fQg,134.0
UEpKf4g8oaAIr0ZIM0TXgw,14.0
vJOwJQF4sDqBbecUK4cVRg,0.0
7oS4RyfwnQ3n9fARzjsNNg,0.0
0xUKfmnzPSl8HQz-K_-0Ew,236.0
sYMAijY2oRrd71KRHKoIDA,0.0
Pawavw9U8rjxWVPU-RB7LA,9.0
3Esl4FVI9Rzl_KSmIiMgaw,0.0
G5rqI8RjYa5Jkoo1lYbdPw,0.0
3z6gQVDbWuykm-a8R1YyJg,4.0
u_ZGUzNkGppD0-WR61bd1A,2.0
E_tvJL3lfmCTWAcq2js8Kw,14.0
IoPSrK19Xd9FG_Q0x_CcLQ,0.0
soQEl35sQuARBOlH1Y6MaQ,0.0
sOXRk5TkFrz3pKzUYF1EEw,0.0
wlUiXdH1Cfj4do5kNxrOtw,2.0
xqVeSoyuWsKhQpWZjwiYSA,0.0
jhNV1xO2q1_61REv2YQAtg,0.0
3bM9rmjbaLOrlS--dRzZAw,0.0
7fiRVsawDX0vCpoMTbbxcQ,0.0
qwkzD5_OjQ2eYv0EIKxV_g,0.0
riXr33UJRQXVMKJcNZPqqw,0.0
jjBTBObnHrY87qQIMybjzQ,3.0
aURWnSm0BrHhp-0DSXFJww,0.0
l_MAsRrpzf2sXPykr9DyxQ,13.0
ZNB91myFoOYgyXoG5LQeGQ,3.0
7toYPf5ZAjCkEuwaMPtDwQ,12.0
lJi_YNH86EHX4WctntU7Tg,3.0
4TFm4xk1y3lSeInw0r0ALA,0.0
1zI3trw5QLNdypXBfudh0w,6.0
hh6OnxhTmfoyLo4prSNwBQ,0.0
ATrQfex3fY79YxWw2gsD-g,0.0
y_Xi2V_0lGbCkRuiXLHUFA,0.0
dcytjy24XmYrLtjTjgyEZA,0.0
RahdAQ5h6_nu50jeR2EKTQ,0.0
CuIPocteo1F3LEn1OqUoHg,5.0
pw5B6BKQ4dWPzKesqn01NA,0.0
tCVma1LcSnLWBRqJoTom5g,1.0
h0r1AJiTJUP_W8qxeRBlYA,252.0
oK_uwtOectm906rpUtHiug,0.0
2hJNAFFy2qOqmIIKFjcw9w,0.0
GVTL5nxjlhzdXJMy4-4HBA,0.0
sGLdSwi3zKNM3c3f5Ep8jw,1.0
QQSlx-l_cfwkVrNwjV_HgQ,12.0
mqiHZYNXnMLaEK87JZOzmA,3.0
-UjCvAsvBOr19y8lqPueiQ,8.0
A-IqLvBfU5Gr_b9HVLETTw,15.0
dyaSQBKagPYylOJxsU8CMA,0.0
o47aY911-1rK9tHeXOWxFg,37.0
uNMQV-r1nO5dfGSGnVTFUA,0.0
Ef9crW61OYp2UJ0ysi3nEw,0.0
OohsWZ3A0bo8y6N6vi6ePA,0.0
O5MzWfMWDeEwkzNVeKdCfg,5.0
6_2fCtQLEVXJgbKLnTZaXg,0.0
q4P3WHwC0lFafwvTlkKMIw,0.0
rWBCnU-LM3IZq_xdm18PvQ,7.0
Mrh6EoDcsDWmvWBPmK7ncw,4.0
tBecXDdDmboDVwUu4kmOiA,1.0
fCkvpPqOziXHHu-f8tbeZw,0.0
lTG46zyVkZOk6RAR17kqQQ,7.0
7LlND5b0bjWylNBNQ-oZMA,0.0
lK_iVjCur58if_XcbENGqg,67.0
eVyEkAUx0BIFf_c1MVeUhw,0.0
RhnBoOv61mYYtNKatNYgEQ,2.0
vG8Dx3_Vh_WlsZlUZiAa5A,52.0
v_gCDktW0mMf7pf-jktKzw,461.0
wHlLjTBWPEbxHw6ZysSKIg,370.0
CaMwTEn92eJ1T2Zfr1xcnA,9.0
WthUXmfVevQPMZ_LB2-q-A,307.0
N7Gg7XElIaB45CJbkhDuDA,5.0
vA2aKRFspZWyxSlk0jNgbA,2.0
vWCQyLsW7BujxQUlljOpgQ,0.0
N0L1C5K9ViBD58vig5sahw,0.0
cWsgD-u_TvTohsx6LSi9aQ,31.0
PN6YCsAdFHcHST9vPaxIuw,0.0
FI1JaVkuiZdb23Ds-mpBeg,17.0
odfX0wO7fOyqa8oobxh96w,3.0
rEuSmPPblKIcOzazlBwTcw,51.0
QzDYO-lJhX-wh74z6ajI4g,2.0
SY7ZyPxidnToTEFbJBleOg,276.0
i17-RGooGWIad0y5YtaBtQ,4.0
wXNHLkDkh0HKGJeYVnpafQ,24.0
QCZwZLYHkTyYQDr6jdjKjA,7.0
oXFRaSgcT9GwCWfC9lf8dg,12.0
I_vzg2V92U7wdD61tvGtpg,0.0
EhlOUjd2dh52SV_XfoORSA,22.0
tyCIs0pyyw36apAXdR26WQ,1.0
0vAHRd4Xlsdx3fHV8JCRBQ,24.0
vLxpEHKZFzv8LYY5eeGjTg,0.0
_VYUU5HPLYasd-xdKLimNA,0.0
Z5NhdlLCu--leud_OLcvIA,0.0
5E37qENVklkwAMHmIwc_IA,14.0
lSxAQR1FeSljX9zeVJTEWA,0.0
f4Fwv8ClqR35p5chZWKSLQ,0.0
wA2xaBsT8d2opW_jYe1XLA,2.0
SvkZohb7zezIqef6oE14rA,0.0
Zs-Gk02SPk_CU7NgMAVTJw,38.0
IbE1cc06F4Vqq-H8RP-RoA,0.0
aS4t4ee3xqQXgNHNxi9gAA,6.0
SpCVf25ya5jsHItdkpBpUg,26.0
imBVeP4aA-aLTdPD-t8_WQ,2.0
sPd3E7lFzd_yooiq-ekxtQ,54.0
6_7_aSycZlRsfKENFiIi6g,6.0
5Y-p9QJLrg2P0I8RjJ9TTQ,0.0
2p5J9bc0acslM4XBNcXAJQ,0.0
UzSXgaJjOrtdWATtzgPWqQ,4.0
Qn2uD06olrxL_43_4G_Hqg,0.0
r5qUfdiSL2_hHfdqXBJAMA,28.0
TvhpG74DvdoF4MA0vLlOLw,4.0
GfYzz2Dnnn0CqeDqROAKTQ,1.0
NNiKmCGL1USfihxT7uAcjw,154.0
5dSsBYJiMujrd8uJuVcJhA,818.0
3buPFDqdstemNGAGHDWPaw,11.0
ybbtuwtS5S6Q5-3Up0jG2Q,30.0
uD5fTga5_jVLx8IdKHBbgg,12.0
xFSCaBlcnDXSGFPUtYtuXA,69.0
3Ui-76sC9_fNs2gu8ISAMw,581.0
Nx_08EV_upf87T566h_Pvw,46.0
nLmgrCtMOkenVoJm2n8O4g,236.0
-J6xWAvDJJW4zb7J9YpYOA,0.0
F1tOtPzcsQk8PqNOatVsCg,0.0
On5sceeptZSlLeGWDDGiwQ,4.0
WLCdg4ib7-_7b8epoXRjAw,69.0
xgZMO4BHn1TCn7hZ62SaiA,20.0
MV9fUwgI2AQa4uZArynRlA,151.0
ZlrHrg7jrbO6blqwfa0MkQ,218.0
XXm8lwYNH9gQpKq1Xek_YQ,3.0
5G0cEcOxAwoPOhGV_B5VlA,0.0
RCSuvvhuPO-hozONvzC_4A,5.0
odtLH4HI7i0TSbybja6qrQ,2.0
ZhdbnIScQfeYh9upMbK0lQ,0.0
wDfz8ap9xWzj46mtNDcT9A,226.0
oMgO5GzgaJ7iyzZ5_w70hQ,311.0
OiutT-PHcZd6y2cEJ_yEVw,16.0
a0Jm-rlHOKk_1fm4hzxskg,213.0
