"","business_id","stars","alcohol","divey","casual","bikeparking","businessacceptscreditcards","goodforkids","dessert","latenight","lunch","dinner","brunch","hastv","restaurantsdelivery"
"1","Ja4stXdNYr39u5CZHMNtjw",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"6","ZYof0WYlilJ3pgWNSgmYKQ",3.5,"fullbar",0,1,1,1,1,0,1,1,1,0,1,1
"11","tstimHoMcYbkSC4eBA1wEg",4.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"12","bBM6OguT_lLYSlq4NaMuzw",3.5,"none",0,1,1,1,1,0,0,0,1,0,0,0
"13","-jKhfsXol4FxbRjK8aUsLA",3,"none",0,0,0,1,0,0,0,0,0,0,0,0
"15","OQcvO5P3gH0cuJ-bPXwfQQ",5,"none",0,1,0,1,1,1,0,1,1,1,1,0
"16","BmyRJmbVm4jGlkXg4ncLJQ",3,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"18","d4qwVw4PcN-_2mK2o1Ro1g",3.5,"fullbar",0,1,0,1,0,0,0,1,1,0,1,0
"19","dcytjy24XmYrLtjTjgyEZA",3.5,"fullbar",0,0,0,1,1,0,0,0,0,0,0,1
"20","CaMwTEn92eJ1T2Zfr1xcnA",4,"none",0,0,1,1,1,0,0,1,0,0,0,1
"22","K-0pdH5hZQVeoUmYSNygQw",5,"beerandwine",1,0,1,1,1,0,0,0,0,0,1,0
"27","qCtjJp2tI-RyennIpfN6Wg",4,"none",0,1,1,1,1,0,0,1,0,0,0,0
"31","K0VNhFhaOrO3CypCqofjwA",3,"none",0,1,1,1,1,0,0,1,1,0,0,1
"37","EaIho6EvTuODNHPLO98yeQ",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"40","i5EhA_T8_eWLr4_4DGDS5w",2.5,"none",0,0,0,1,1,0,0,0,0,0,0,1
"44","83cVpTJNyzv9lJ20vzBgdg",4,"none",1,0,1,1,1,0,0,1,0,0,1,1
"45","nc7YTLSXEWPG4Q0WlI5iPQ",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"48","pGwfOqNEL8FbMUFspJdAMA",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"49","dQwjYLmQXb06CpMPIpm5-g",4,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"54","i5A6Bb9SpaYb3_Yr40Pk2g",4,"none",0,0,1,1,1,0,0,0,0,0,0,1
"55","S8VRQCBrbZI04zjCOc1RAA",4.5,"none",1,0,1,1,1,0,0,1,0,0,0,0
"57","ym7uH6ZpCfKQ1Of7eaYGCA",4.5,"none",0,1,0,1,1,0,0,1,1,0,1,0
"58","KTQHeWmwLxDQEt7GN7n3pA",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"60","4CE_jyoNwSYkorer13G5OQ",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"62","pUmECN5N94AQAe0DtptuYA",3.5,"beerandwine",0,1,1,1,1,0,1,1,1,0,1,1
"64","EC7NrIHKk6i3US_XJlDWDA",4,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,0
"67","38aN0fB_zHtkw1kb3lSj8g",4.5,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"70","n0bg7kf6HcpFchCtxJyc5A",3,"fullbar",0,0,0,1,0,0,0,0,1,0,0,0
"73","_82041xhXs6-_WWT82BA8Q",3,"none",0,0,1,1,1,0,0,0,0,0,0,1
"74","xxYsX6Gj0-pj-kxKw092LQ",3.5,"none",0,1,1,1,1,0,1,1,1,0,0,1
"77","TZ0sFZnJi1w4CM0IcA4T6w",3.5,"none",0,0,1,1,1,0,0,0,0,1,1,0
"79","_HVZ1V8IDa49MWdejx9BbA",2.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"80","5OqrwhtZ3mcmUSwLINZTWQ",4,"fullbar",0,0,0,1,0,0,0,0,1,0,0,0
"82","8zh9Uts1H32Cqfbar44TLw",4,"beerandwine",0,1,0,1,1,0,0,1,1,0,1,0
"84","BAbRAGFnht4BM0QG_OM1Og",3.5,"none",0,0,1,1,1,0,0,1,0,0,1,0
"88","SkdJFYlITwDsk5FYH-s7OA",1.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"92","ky5L-EfUwU9chSPcIeXM5w",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,1
"97","_ikylomPLdTgVtE0xWR_1Q",3.5,"none",0,0,1,1,1,0,1,0,0,0,0,0
"98","Gdv3qhsDeQzZ2Ag-Tzq6vA",4,"none",0,1,1,1,1,0,0,1,1,0,1,1
"99","bgx6gYdktqEoQwBdo5lRbA",4.5,"none",0,1,1,1,1,1,0,1,1,0,0,0
"100","522GgMvOvzaKCEX6BfAtvg",4,"beerandwine",0,0,0,1,1,0,1,0,0,1,1,1
"115","y6Fmhz2CceimbgvxNVgE-w",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"116","tLSgXuy0g8nxX6Xgb7nvrw",3,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,0
"118","5pMNyj77S1P3rrT69y1pkQ",3.5,"beerandwine",0,1,1,1,1,0,1,1,1,0,1,1
"119","S9CrHJJnns3cqdGca7mQWQ",3.5,"none",0,0,1,1,1,0,0,1,1,0,1,1
"120","Qor28v4BlhSwtN8DSvah9g",3.5,"none",0,1,1,1,1,0,1,1,1,0,1,0
"121","WqHpTx3gHTx8ud8RxSyYOw",3.5,"none",0,0,0,1,1,0,1,1,1,1,1,0
"123","gg0zeYKlmvk_rScipyOyKw",4,"none",0,0,1,1,1,0,0,0,0,1,1,0
"129","BJeHWkccQRXZKKyBcauenA",3.5,"fullbar",0,0,1,1,0,0,0,0,0,0,1,1
"131","_6mvQX9x66oz046eS5ii8w",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"132","1ZJz840L496LAmQdeDv0WA",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,0
"134","I25YFbDL16lVcutPMNIlHA",2.5,"fullbar",0,0,1,1,1,0,0,0,0,0,1,0
"135","1rbb8ntTOpSolQv60CGcsQ",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,1
"138","lOQPeguczAueJnLmDUTfGg",4,"fullbar",0,1,1,1,1,0,0,1,1,1,1,0
"142","QvKN1zh_BCFai6oDCx3d_g",4,"none",0,0,0,1,1,0,0,0,0,0,0,1
"146","UtWd3LMEktL51UJyUwYwjA",4,"none",0,0,1,1,1,0,0,0,0,1,1,0
"148","qjO0FtFXalKSVZLVq-XewQ",4,"beerandwine",0,0,1,1,1,0,1,1,0,1,1,0
"149","2kWrSFkIes_d2BMg4YrRtA",3.5,"none",0,0,0,1,1,0,0,0,0,0,0,1
"151","aVKBmuvdDmEOgOfqaSF_xA",4,"none",0,0,0,1,1,0,0,1,0,0,0,0
"152","ZJufvkLNtlAsQU9h_ttdNg",2,"beerandwine",0,0,0,1,1,0,0,0,0,0,1,0
"158","en-qw089uyISqOTUJb3dhw",2.5,"none",0,0,1,1,1,0,0,1,0,0,0,0
"159","75u8X_saAIETRHgpECi8YA",3.5,"fullbar",0,0,1,1,1,0,0,1,1,0,1,0
"160","4IdcT63iE5fNrVzayZtKEw",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,1
"167","OiutT-PHcZd6y2cEJ_yEVw",3,"none",0,0,0,1,1,0,0,0,0,0,0,0
"168","xjlMlnxWqMd3FGODA_z1NA",3.5,"none",0,1,0,1,1,0,0,1,1,0,0,1
"169","WOz66UuVsfc2K9GxzfDnGg",3.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"175","DM8j5g9k28vEOTM0kz4KVA",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,1
"177","KMwv6qK14VZvC-We6l9LCg",3.5,"none",0,0,0,1,1,0,1,0,0,0,1,0
"185","HyoPFfBHLK0lKVHWEdFpvQ",4,"none",0,0,1,1,1,0,0,0,0,0,0,1
"187","9J-Vg2-uqjreSRtITaDlMg",4,"none",0,1,1,1,1,0,0,1,1,0,1,1
"191","D1J0-sFI1ul-9l3CwjvvwA",3.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"192","XpyYSWF-8xi_aZ67RUuk2Q",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"196","I8TOosBLYKxZMAYNNyGEyg",2.5,"none",1,0,0,1,1,0,0,1,1,0,0,1
"202","1OnZRj4yIo4szhapTFwj5w",4,"none",0,0,1,1,1,1,0,0,0,0,0,0
"208","jyZqmlaziZKtPv8AVTzciw",3,"beerandwine",1,0,0,1,1,0,0,0,1,0,0,0
"210","LgTBbuKTSm4qKHEmFAEJmA",3,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"213","yOBDY3fpaTpX4Q5JpmExMg",4,"beerandwine",0,1,1,1,1,0,0,0,1,0,1,0
"217","9h2W6JBWILS_RwlpIBSEig",4.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"219","BUVgOVIeyipLxHdoDtBIoA",3.5,"none",1,0,1,1,1,0,1,1,0,0,1,0
"221","dFyaVVHLcfNE98-NMftL7w",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"224","v7xjDbezQ2xw95itvN244Q",3,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"225","yvqcZrHixuf_oIUW83xUcQ",3,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"227","fq6qlXprwSzSUr0RKE_0rA",3,"none",0,0,1,1,1,0,0,0,0,0,0,0
"228","a9vzUNNZS6Z75ONo_p-WaA",2,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,1
"231","-oOKqZbYDt08zaWWyLZNIw",4,"none",0,1,1,1,1,0,0,1,1,0,0,1
"232","bMrYaaAy62ppdS09na0RgQ",4,"none",1,0,1,1,1,0,0,1,0,0,1,1
"234","n_UlhRNcv9dm04NbUNBrFQ",3,"none",0,1,0,1,1,0,0,1,0,0,0,0
"236","l8IqBeFXK3dqFEs7YL3ukg",3,"none",0,0,1,1,1,0,0,0,0,0,0,1
"237","twrgw3ZaMEiS87sN5ahuuw",4.5,"none",0,1,1,1,1,0,0,1,1,0,1,0
